0,0.006371498107910156,34.7064946546,354,152,housing_scale.csv,uniform,2,1
0,0.006762266159057617,38.1491759226,354,152,housing_scale.csv,extrapolated,2,1
0,0.002128124237060547,31.8812657895,354,152,housing_scale.csv,knn,2,1
1,0.0035247802734375,26.3517865954,354,152,housing_scale.csv,uniform,2,1
1,0.006748676300048828,32.2522235247,354,152,housing_scale.csv,extrapolated,2,1
1,0.001725912094116211,20.4769236842,354,152,housing_scale.csv,knn,2,1
2,0.003008127212524414,27.6527785773,354,152,housing_scale.csv,uniform,2,1
2,0.005395412445068359,29.2763783303,354,152,housing_scale.csv,extrapolated,2,1
2,0.0013744831085205078,29.8716473684,354,152,housing_scale.csv,knn,2,1
3,0.006567239761352539,30.4728577303,354,152,housing_scale.csv,uniform,2,1
3,0.005121469497680664,32.7073563219,354,152,housing_scale.csv,extrapolated,2,1
3,0.0026509761810302734,30.4282315789,354,152,housing_scale.csv,knn,2,1
4,0.004566669464111328,39.6046217105,354,152,housing_scale.csv,uniform,2,1
4,0.003635406494140625,43.8788292378,354,152,housing_scale.csv,extrapolated,2,1
4,0.002351999282836914,32.9919052632,354,152,housing_scale.csv,knn,2,1
5,0.0071697235107421875,36.1011914062,354,152,housing_scale.csv,uniform,2,1
5,0.004784345626831055,40.3157060187,354,152,housing_scale.csv,extrapolated,2,1
5,0.0015408992767333984,33.1861473684,354,152,housing_scale.csv,knn,2,1
6,0.0028510093688964844,45.4173972039,354,152,housing_scale.csv,uniform,2,1
6,0.0027332305908203125,45.4083859373,354,152,housing_scale.csv,extrapolated,2,1
6,0.0022149085998535156,46.8104210526,354,152,housing_scale.csv,knn,2,1
7,0.004112958908081055,21.2895055510,354,152,housing_scale.csv,uniform,2,1
7,0.002732992172241211,26.0682548201,354,152,housing_scale.csv,extrapolated,2,1
7,0.0019724369049072266,18.9987657895,354,152,housing_scale.csv,knn,2,1
8,0.0042531490325927734,24.6183717105,354,152,housing_scale.csv,uniform,2,1
8,0.00437617301940918,30.9675507520,354,152,housing_scale.csv,extrapolated,2,1
8,0.002203702926635742,25.6967552632,354,152,housing_scale.csv,knn,2,1
9,0.004912137985229492,27.1397070313,354,152,housing_scale.csv,uniform,2,1
9,0.005934476852416992,30.4647868740,354,152,housing_scale.csv,extrapolated,2,1
9,0.001529693603515625,19.3589368421,354,152,housing_scale.csv,knn,2,1
10,0.0030825138092041016,39.4899187911,354,152,housing_scale.csv,uniform,2,1
10,0.002910137176513672,42.6765799432,354,152,housing_scale.csv,extrapolated,2,1
10,0.0015606880187988281,37.9388815789,354,152,housing_scale.csv,knn,2,1
