0,0.32972002029418945,1.0071531764,21000,9000,1,uniform,2,1
0,0.3792252540588379,1.0067336967,21000,9000,1,extrapolated,2,1
0,0.44057607650756836,1.0069518123,21000,9000,1,knn,2,1
1,0.2998313903808594,1.0010934232,21000,9000,1,uniform,2,1
1,0.34042906761169434,1.0010897922,21000,9000,1,extrapolated,2,1
1,0.4297919273376465,1.0010839449,21000,9000,1,knn,2,1
2,0.30129098892211914,1.0210210209,21000,9000,1,uniform,2,1
2,0.3405303955078125,1.0211898180,21000,9000,1,extrapolated,2,1
2,0.3220100402832031,1.0217467625,21000,9000,1,knn,2,1
3,0.31078505516052246,0.9990599333,21000,9000,1,uniform,2,1
3,0.34116554260253906,0.9986206516,21000,9000,1,extrapolated,2,1
3,0.4295501708984375,0.9990688842,21000,9000,1,knn,2,1
4,0.29970884323120117,0.9702866056,21000,9000,1,uniform,2,1
4,0.4762837886810303,0.9699439358,21000,9000,1,extrapolated,2,1
4,0.4292631149291992,0.9705468766,21000,9000,1,knn,2,1
5,0.3001279830932617,1.0173638103,21000,9000,1,uniform,2,1
5,0.34023046493530273,1.0181712006,21000,9000,1,extrapolated,2,1
5,0.42913007736206055,1.0170204459,21000,9000,1,knn,2,1
6,0.35156798362731934,0.9917816329,21000,9000,1,uniform,2,1
6,0.3678426742553711,0.9914273610,21000,9000,1,extrapolated,2,1
6,0.43233561515808105,0.9911220523,21000,9000,1,knn,2,1
7,0.29905104637145996,0.9940623367,21000,9000,1,uniform,2,1
7,0.3404099941253662,0.9942359265,21000,9000,1,extrapolated,2,1
7,0.320559024810791,0.9941040820,21000,9000,1,knn,2,1
8,0.3167083263397217,1.0073215719,21000,9000,1,uniform,2,1
8,0.4744701385498047,1.0067941296,21000,9000,1,extrapolated,2,1
8,0.4306507110595703,1.0072521464,21000,9000,1,knn,2,1
9,0.21954822540283203,1.0028010698,21000,9000,1,uniform,2,1
9,0.3436739444732666,1.0010773043,21000,9000,1,extrapolated,2,1
